name,type,start_time,"mosi","miso"
"SPI","result",9.48571168,0x00,0x5B
"SPI","result",9.48571316,0x00,0x5B
"SPI","result",9.48571378,0x00,0x5B
"SPI","result",9.48571526,0x00,0x5B
"SPI","result",9.4857159,0x00,0x5B
"SPI","result",9.48571738,0x00,0x5B
"SPI","result",9.485718,0x00,0x5B
"SPI","result",9.48571948,0x00,0x5B
"SPI","result",9.4857201,0x00,0x5B
"SPI","result",9.4857216,0x00,0x5B
"SPI","result",9.48572222,0x00,0x5B
"SPI","result",9.4857237,0x00,0x5B
"SPI","result",9.48572432,0x00,0x5B
"SPI","result",9.48572582,0xFF,0x5B
"SPI","result",9.48572644,0x02,0x5B
"SPI","result",9.48572792,0x00,0x5B
"SPI","result",9.48572854,0x00,0x5B
"SPI","result",9.48573004,0x00,0x5B
"SPI","result",9.48573066,0x00,0x5B
"SPI","result",9.48573214,0x00,0x5B
"SPI","result",9.48573276,0x00,0x5B
"SPI","result",9.48573424,0x00,0x5B
"SPI","result",9.48573488,0x00,0x5B
"SPI","result",9.48573636,0x00,0x5B
"SPI","result",9.48573698,0x01,0x5B
"SPI","result",9.48573846,0xFF,0x5B
"SPI","result",9.4857391,0xFF,0x5B
"SPI","result",9.48574058,0xD3,0x5B
"SPI","result",9.4857412,0xE2,0x5B
"SPI","result",9.48574268,0x87,0x5B
"SPI","result",9.48574332,0x00,0x5B
"SPI","result",9.4857448,0x10,0x5B
"SPI","result",9.48574542,0x54,0x5B
"SPI","result",9.4857469,0x00,0x5B
"SPI","result",9.48574754,0x00,0x5B
"SPI","result",9.48574902,0x00,0x5B
"SPI","result",9.48574964,0x00,0x5B
"SPI","result",9.48575112,0xFE,0x5B
"SPI","result",9.48575174,0x80,0x5B
"SPI","result",9.48575324,0x00,0x5B
"SPI","result",9.48575386,0x00,0x5B
"SPI","result",9.48575534,0x00,0x5B
"SPI","result",9.48575596,0x00,0x5B
"SPI","result",9.48575746,0x00,0x5B
"SPI","result",9.48575808,0x00,0x5B
"SPI","result",9.48575956,0xE2,0x5B
