name,type,start_time,"mosi","miso"
"SPI","result",3.75902495,0x00,0x5B
"SPI","result",3.75902643,0x00,0x5B
"SPI","result",3.75902705,0x00,0x5B
"SPI","result",3.75902853,0x00,0x5B
"SPI","result",3.75902915,0x00,0x5B
"SPI","result",3.75903065,0xFF,0x5B
"SPI","result",3.75903127,0x02,0x5B
"SPI","result",3.75903275,0x00,0x5B
"SPI","result",3.75903338,0x00,0x5B
"SPI","result",3.75903488,0x00,0x5B
"SPI","result",3.7590355,0x00,0x5B
"SPI","result",3.75903697,0x00,0x5B
"SPI","result",3.7590376,0x00,0x5B
"SPI","result",3.75903908,0x00,0x5B
"SPI","result",3.7590397,0x00,0x5B
"SPI","result",3.7590412,0x00,0x5B
"SPI","result",3.75904183,0x01,0x5B
"SPI","result",3.7590433,0xFF,0x5B
"SPI","result",3.75904392,0xFF,0x5B
"SPI","result",3.7590454,0xD3,0x5B
"SPI","result",3.75904602,0xE2,0x5B
"SPI","result",3.75904753,0x87,0x5B
"SPI","result",3.75904815,0x00,0x5B
"SPI","result",3.75904962,0x10,0x5B
"SPI","result",3.75905025,0x54,0x5B
"SPI","result",3.75905175,0x00,0x5B
"SPI","result",3.75905238,0x00,0x5B
"SPI","result",3.75905385,0x00,0x5B
"SPI","result",3.75905448,0x00,0x5B
"SPI","result",3.75905595,0xFE,0x5B
"SPI","result",3.75905657,0x80,0x5B
"SPI","result",3.75905807,0x00,0x5B
"SPI","result",3.7590587,0x00,0x5B
"SPI","result",3.75906018,0x00,0x5B
"SPI","result",3.7590608,0x00,0x5B
"SPI","result",3.75906227,0x00,0x5B
"SPI","result",3.7590629,0x00,0x5B
"SPI","result",3.7590644,0xE2,0x5B
"SPI","result",3.75906502,0x0E,0x5B
"SPI","result",3.7590665,0xE1,0x5B
"SPI","result",3.75906713,0xFF,0x5B
"SPI","result",3.75906862,0xFE,0x5B
"SPI","result",3.75906925,0xFF,0x5B
"SPI","result",3.75907072,0xD3,0x5B
"SPI","result",3.75907135,0xE2,0x5B
"SPI","result",3.75907283,0x55,0x5B
"SPI","result",3.75907345,0x55,0x5B
"SPI","result",3.75907495,0x00,0x00
"SPI","result",3.75907557,0x00,0x00
"SPI","result",4.75893288,0xC2,0x5B
"SPI","result",4.7589335,0x00,0x5B
"SPI","result",4.75893463,0x00,0x0C
"SPI","result",4.75893525,0x00,0x5B
"SPI","result",4.75894295,0xC2,0x5B
"SPI","result",4.75894357,0x00,0x5B
"SPI","result",4.7589447,0x00,0x0C
"SPI","result",4.75894533,0x00,0x5B
"SPI","result",4.75894762,0x41,0x5B
"SPI","result",4.75894825,0x00,0x5B
"SPI","result",4.75894938,0x00,0x5B
"SPI","result",4.75895,0x58,0x5B
"SPI","result",4.7589521,0x00,0x5B
"SPI","result",4.75895273,0x00,0x5B
"SPI","result",4.75895418,0xAA,0x5B
"SPI","result",4.7589548,0xAA,0x5B
"SPI","result",4.7589563,0xAA,0x5B
"SPI","result",4.75895692,0xAA,0x5B
"SPI","result",4.7589584,0x4E,0x5B
"SPI","result",4.75895903,0x00,0x5B
"SPI","result",4.7589605,0x00,0x5B
"SPI","result",4.75896112,0x00,0x5B
"SPI","result",4.75896263,0x33,0x5B
"SPI","result",4.75896325,0x33,0x5B
"SPI","result",4.75896473,0xFF,0x5B
"SPI","result",4.75896535,0xFF,0x5B
"SPI","result",4.75896685,0xD3,0x5B
"SPI","result",4.75896748,0xE2,0x5B
"SPI","result",4.75896895,0xE0,0x5B
"SPI","result",4.75896958,0x0E,0x5B
"SPI","result",4.75897105,0xE1,0x5B
"SPI","result",4.75897167,0xFF,0x5B
"SPI","result",4.75897318,0xD3,0x5B
"SPI","result",4.7589738,0xE2,0x5B
"SPI","result",4.75897528,0x86,0x5B
"SPI","result",4.7589759,0xDD,0x5B
"SPI","result",4.75897737,0x60,0x5B
"SPI","result",4.758978,0x00,0x5B
"SPI","result",4.7589795,0x00,0x5B
"SPI","result",4.75898012,0x00,0x5B
"SPI","result",4.7589816,0x00,0x5B
"SPI","result",4.75898222,0x18,0x5B
"SPI","result",4.75898373,0x3A,0x5B
"SPI","result",4.75898435,0xFF,0x5B
"SPI","result",4.75898582,0x00,0x5B
"SPI","result",4.75898645,0x00,0x5B
"SPI","result",4.75898792,0x00,0x5B
"SPI","result",4.75898855,0x00,0x5B
"SPI","result",4.75899005,0x00,0x5B
"SPI","result",4.75899067,0x00,0x5B
"SPI","result",4.75899215,0x00,0x5B
"SPI","result",4.75899278,0x00,0x5B
"SPI","result",4.75899425,0x00,0x5B
"SPI","result",4.75899487,0x00,0x5B
"SPI","result",4.75899637,0x00,0x5B
"SPI","result",4.758997,0x00,0x5B
"SPI","result",4.75899848,0x00,0x5B
"SPI","result",4.7589991,0x00,0x5B
"SPI","result",4.7590006,0x00,0x5B
"SPI","result",4.75900122,0x00,0x5B
"SPI","result",4.7590027,0xFF,0x5B
"SPI","result",4.75900333,0x02,0x5B
"SPI","result",4.7590048,0x00,0x5B
"SPI","result",4.75900542,0x00,0x5B
"SPI","result",4.75900693,0x00,0x5B
"SPI","result",4.75900755,0x00,0x5B
"SPI","result",4.75900903,0x00,0x5B
"SPI","result",4.75900965,0x00,0x5B
"SPI","result",4.75901112,0x00,0x5B
"SPI","result",4.75901175,0x00,0x5B
"SPI","result",4.75901325,0x00,0x5B
"SPI","result",4.75901387,0x01,0x5B
"SPI","result",4.75901535,0xFF,0x5B
"SPI","result",4.75901597,0xFF,0x5B
"SPI","result",4.75901748,0xD3,0x5B
"SPI","result",4.7590181,0xE2,0x5B
"SPI","result",4.75901957,0x87,0x5B
"SPI","result",4.7590202,0x00,0x5B
"SPI","result",4.75902167,0x10,0x5B
"SPI","result",4.7590223,0x54,0x5B
"SPI","result",4.7590238,0x00,0x5B
"SPI","result",4.75902442,0x00,0x5B
"SPI","result",4.7590259,0x00,0x5B
"SPI","result",4.75902653,0x00,0x5B
"SPI","result",4.759028,0xFE,0x5B
"SPI","result",4.75902863,0x80,0x5B
"SPI","result",4.75903013,0x00,0x5B
"SPI","result",4.75903075,0x00,0x5B
"SPI","result",4.75903223,0x00,0x5B
"SPI","result",4.75903285,0x00,0x5B
"SPI","result",4.75903433,0x00,0x5B
"SPI","result",4.75903495,0x00,0x5B
"SPI","result",4.75903645,0xE2,0x5B
"SPI","result",4.75903708,0x0E,0x5B
"SPI","result",4.75903855,0xE1,0x5B
"SPI","result",4.75903917,0xFF,0x5B
"SPI","result",4.75904067,0xFE,0x5B
"SPI","result",4.7590413,0xFF,0x5B
"SPI","result",4.75904278,0xD3,0x5B
"SPI","result",4.7590434,0xE2,0x5B
"SPI","result",4.75904487,0x55,0x5B
"SPI","result",4.7590455,0x55,0x5B
"SPI","result",4.759047,0x00,0x00
"SPI","result",4.75904763,0x00,0x00
"SPI","result",5.75892818,0xC2,0x5B
"SPI","result",5.7589288,0x00,0x5B
"SPI","result",5.75892993,0x00,0x0C
"SPI","result",5.75893055,0x00,0x5B
"SPI","result",5.75893802,0xC2,0x5B
"SPI","result",5.75893865,0x00,0x5B
"SPI","result",5.75893977,0x00,0x0C
"SPI","result",5.7589404,0x00,0x5B
"SPI","result",5.7589427,0x41,0x5B
"SPI","result",5.75894332,0x00,0x5B
"SPI","result",5.75894443,0x00,0x5B
"SPI","result",5.75894505,0x50,0x5B
"SPI","result",5.75894715,0x00,0x5B
"SPI","result",5.75894778,0x00,0x5B
"SPI","result",5.75894925,0xAA,0x5B
"SPI","result",5.75894987,0xAA,0x5B
"SPI","result",5.75895135,0xAA,0x5B
"SPI","result",5.75895197,0xAA,0x5B
"SPI","result",5.75895348,0x46,0x5B
"SPI","result",5.7589541,0x00,0x5B
"SPI","result",5.75895557,0x00,0x5B
"SPI","result",5.7589562,0x00,0x5B
"SPI","result",5.75895768,0x33,0x5B
"SPI","result",5.7589583,0x33,0x5B
"SPI","result",5.7589598,0x00,0x5B
"SPI","result",5.75896042,0x00,0x5B
"SPI","result",5.7589619,0x00,0x5B
"SPI","result",5.75896253,0x02,0x5B
"SPI","result",5.75896403,0xE0,0x5B
"SPI","result",5.75896465,0x0E,0x5B
"SPI","result",5.75896612,0xE1,0x5B
"SPI","result",5.75896675,0xFF,0x5B
"SPI","result",5.75896823,0xD3,0x5B
"SPI","result",5.75896885,0xE2,0x5B
"SPI","result",5.75897035,0x86,0x5B
"SPI","result",5.75897098,0xDD,0x5B
"SPI","result",5.75897245,0x60,0x5B
"SPI","result",5.75897308,0x00,0x5B
"SPI","result",5.75897455,0x00,0x5B
"SPI","result",5.75897517,0x00,0x5B
"SPI","result",5.75897668,0x00,0x5B
"SPI","result",5.7589773,0x10,0x5B
"SPI","result",5.75897878,0x3A,0x5B
"SPI","result",5.7589794,0xFF,0x5B
"SPI","result",5.7589809,0xFE,0x5B
"SPI","result",5.75898153,0x80,0x5B
"SPI","result",5.758983,0x00,0x5B
"SPI","result",5.75898362,0x00,0x5B
